student_id,full_name,gender,department,10th_marks,10th_board,12th_marks,12th_board,cgpa,backlogs_history,active_backlogs,year_of_study,register_number,email,resume_format,parser_confidence,synthetic_ground_truth
SRM_STA_001,Sneha Bhat,Prefer not to say,AIML,60.8,State Board,63.7,ICSE,7.11,0,0,2,SRM_STA_001,snehabhat2674@srmist.edu.in,standard,high,False
SRM_STA_001_V2,Sneha Bhat,Prefer not to say,AIML,60.8,State Board,63.7,ICSE,7.11,0,0,2,SRM_STA_001_V2,snehabhat2674@srmist.edu.in,standard,high,False
SRM_STA_002,Dharini Ramachandran,Prefer not to say,CSE,71.2,CBSE,75.4,State Board,7.74,0,2,4,SRM_STA_002,dhariniramachandran1300@srmist.edu.in,standard,high,False
SRM_STA_002_V2,Dharini Ramachandran,Prefer not to say,CSE,71.2,CBSE,75.4,State Board,7.74,0,2,4,SRM_STA_002_V2,dhariniramachandran1300@srmist.edu.in,standard,high,False
SRM_STA_003,Dhruv Krishnamurthy,Prefer not to say,CSE,96.7,State Board,86.3,HSC,8.46,0,1,4,SRM_STA_003,dhruvkrishnamurthy1538@srmist.edu.in,standard,high,False
SRM_STA_003_V2,Dhruv Krishnamurthy,Prefer not to say,CSE,96.7,State Board,86.3,HSC,8.46,0,1,4,SRM_STA_003_V2,dhruvkrishnamurthy1538@srmist.edu.in,standard,high,False
SRM_STA_004,Akash Roy,Prefer not to say,CSE,78.5,CBSE,67.5,ICSE,6.59,0,0,3,SRM_STA_004,akashroy7189@srmist.edu.in,standard,high,False
SRM_STA_004_V2,Akash Roy,Prefer not to say,CSE,78.5,CBSE,67.5,ICSE,6.59,0,0,3,SRM_STA_004_V2,akashroy7189@srmist.edu.in,standard,high,False
SRM_STA_005,Kavya Joshi,Prefer not to say,AIML,75.5,State Board,80.1,CBSE,7.66,0,0,4,SRM_STA_005,kavyajoshi5738@srmist.edu.in,standard,high,False
SRM_STA_005_V2,Kavya Joshi,Prefer not to say,AIML,75.5,State Board,80.1,CBSE,7.66,0,0,4,SRM_STA_005_V2,kavyajoshi5738@srmist.edu.in,standard,high,False
SRM_STA_006,Kritika Patil,Prefer not to say,AIML,76.5,State Board,82.0,HSC,8.85,0,0,2,SRM_STA_006,kritikapatil16@srmist.edu.in,standard,high,False
SRM_STA_006_V2,Kritika Patil,Prefer not to say,AIML,76.5,State Board,82.0,HSC,8.85,0,0,2,SRM_STA_006_V2,kritikapatil16@srmist.edu.in,standard,high,False
SRM_STA_007,Pavithra Ramachandran,Prefer not to say,AIML,85.6,State Board,68.2,State Board,8.01,0,0,3,SRM_STA_007,pavithraramachandran5248@srmist.edu.in,standard,high,False
SRM_STA_007_V2,Pavithra Ramachandran,Prefer not to say,AIML,85.6,State Board,68.2,State Board,8.01,0,0,3,SRM_STA_007_V2,pavithraramachandran5248@srmist.edu.in,standard,high,False
SRM_STA_008,Harish Verma,Prefer not to say,AIML,75.7,State Board,80.1,State Board,8.04,0,0,2,SRM_STA_008,harishverma669@srmist.edu.in,standard,high,False
SRM_STA_008_V2,Harish Verma,Prefer not to say,IT,75.7,State Board,80.1,State Board,8.04,0,0,2,SRM_STA_008_V2,harishverma669@srmist.edu.in,standard,high,False
SRM_STA_009,Keerthana Verma,Prefer not to say,AIML,68.2,ICSE,72.2,ICSE,7.42,0,0,4,SRM_STA_009,keerthanaverma2989@srmist.edu.in,standard,high,False
SRM_STA_009_V2,Keerthana Verma,Prefer not to say,AIML,68.2,ICSE,72.2,ICSE,7.42,0,0,4,SRM_STA_009_V2,keerthanaverma2989@srmist.edu.in,standard,high,False
SRM_STA_010,Logesh Balakrishnan,Prefer not to say,IT,77.3,ICSE,83.2,HSC,7.69,0,0,4,SRM_STA_010,logeshbalakrishnan8052@srmist.edu.in,standard,high,False
SRM_STA_010_V2,Logesh Balakrishnan,Prefer not to say,IT,77.3,ICSE,83.2,HSC,7.69,0,0,4,SRM_STA_010_V2,logeshbalakrishnan8052@srmist.edu.in,standard,high,False
SRM_STA_011,Mohit Mehta,Prefer not to say,CSE,94.6,ICSE,93.1,HSC,8.61,0,0,3,SRM_STA_011,mohitmehta7205@srmist.edu.in,standard,high,False
SRM_STA_011_V2,Mohit Mehta,Prefer not to say,ECE,94.6,ICSE,93.1,HSC,8.61,0,0,3,SRM_STA_011_V2,mohitmehta7205@srmist.edu.in,standard,high,False
SRM_STA_012,Pari Thakur,Prefer not to say,AIML,63.8,CBSE,69.2,State Board,6.65,0,0,2,SRM_STA_012,parithakur9034@srmist.edu.in,standard,high,False
SRM_STA_012_V2,Pari Thakur,Prefer not to say,AIML,63.8,CBSE,69.2,State Board,6.65,0,0,2,SRM_STA_012_V2,parithakur9034@srmist.edu.in,standard,high,False
SRM_STA_013,Morgan Saxena,Prefer not to say,CSE,70.7,CBSE,81.4,HSC,7.4,0,0,4,SRM_STA_013,morgansaxena1654@srmist.edu.in,standard,high,False
SRM_STA_013_V2,Morgan Saxena,Prefer not to say,ECE,70.7,CBSE,81.4,HSC,7.4,0,0,4,SRM_STA_013_V2,morgansaxena1654@srmist.edu.in,standard,high,False
SRM_STA_014,Harsh Agarwal,Prefer not to say,AIDS,70.6,CBSE,79.5,HSC,7.17,0,0,4,SRM_STA_014,harshagarwal4171@srmist.edu.in,standard,high,False
SRM_STA_014_V2,Harsh Agarwal,Prefer not to say,CSE,70.6,CBSE,79.5,HSC,7.17,0,0,4,SRM_STA_014_V2,harshagarwal4171@srmist.edu.in,standard,high,False
SRM_STA_015,Dharini Thakur,Prefer not to say,CSE,63.4,ICSE,61.3,State Board,6.88,0,0,3,SRM_STA_015,dharinithakur3840@srmist.edu.in,standard,high,False
SRM_STA_015_V2,Dharini Thakur,Prefer not to say,CSE,63.4,ICSE,61.3,State Board,6.88,0,0,3,SRM_STA_015_V2,dharinithakur3840@srmist.edu.in,standard,high,False
SRM_STA_016,Vaishnavi Saxena,Prefer not to say,CSE,82.8,CBSE,77.9,ICSE,7.64,0,0,3,SRM_STA_016,vaishnavisaxena3827@srmist.edu.in,standard,high,False
SRM_STA_016_V2,Vaishnavi Saxena,Prefer not to say,CSE,82.8,CBSE,77.9,ICSE,7.64,0,0,3,SRM_STA_016_V2,vaishnavisaxena3827@srmist.edu.in,standard,high,False
SRM_STA_017,Sakshi Joshi,Prefer not to say,IT,78.1,CBSE,79.7,CBSE,7.3,0,1,4,SRM_STA_017,sakshijoshi6142@srmist.edu.in,standard,high,False
SRM_STA_017_V2,Sakshi Joshi,Prefer not to say,IT,78.1,CBSE,79.7,CBSE,7.3,0,1,4,SRM_STA_017_V2,sakshijoshi6142@srmist.edu.in,standard,high,False
SRM_STA_018,Nisha Jain,Prefer not to say,CSE,81.8,CBSE,82.2,CBSE,9.06,0,0,4,SRM_STA_018,nishajain5115@srmist.edu.in,standard,high,False
SRM_STA_018_V2,Nisha Jain,Prefer not to say,CSE,81.8,CBSE,82.2,CBSE,9.06,0,0,4,SRM_STA_018_V2,nishajain5115@srmist.edu.in,standard,high,False
SRM_STA_019,Gokul Sundaram,Prefer not to say,CSE,72.7,CBSE,72.1,HSC,7.92,0,0,2,SRM_STA_019,gokulsundaram7148@srmist.edu.in,standard,high,False
SRM_STA_019_V2,Gokul Sundaram,Prefer not to say,CSE,72.7,CBSE,72.1,HSC,7.92,0,0,2,SRM_STA_019_V2,gokulsundaram7148@srmist.edu.in,standard,high,False
SRM_STA_020,Sruthi Patil,Prefer not to say,AIML,64.3,ICSE,66.1,CBSE,6.95,0,1,4,SRM_STA_020,sruthipatil4644@srmist.edu.in,standard,high,False
SRM_STA_020_V2,Sruthi Patil,Prefer not to say,AIML,64.3,ICSE,66.1,CBSE,6.95,0,1,4,SRM_STA_020_V2,sruthipatil4644@srmist.edu.in,standard,high,False
SRM_STA_021,Nandhini Patil,Prefer not to say,CSE,75.9,Matriculation Board,68.2,State Board,7.78,0,0,2,SRM_STA_021,nandhinipatil4626@srmist.edu.in,standard,high,False
SRM_STA_021_V2,Nandhini Patil,Prefer not to say,CSE,75.9,Matriculation Board,68.2,State Board,7.78,0,0,2,SRM_STA_021_V2,nandhinipatil4626@srmist.edu.in,standard,high,False
